model,rumusan,benar,dinilai,skor,a_kena,a_total,a_rasio,b_kena,b_total,b_rasio,biaya_usd_total,latensi_median_ms,waktu_amat_awal,waktu_amat_akhir,cap_token_maks,dijalankan_pada
deepseek-v4-flash-0731,open-py1,35,69,0.5072,35,40,0.875,105,130,0.8077,0.0040482329,3644,2026-08-14T07:20:05,2026-08-14T08:12:19,2400,2026-09-03T21:45:55+0700
deepseek-v4-flash-0731,open-py2,50,69,0.7246,29,40,0.725,124,130,0.9538,0.0047494917,4526,2026-08-14T07:03:46,2026-08-14T08:16:20,2400,2026-09-03T21:45:55+0700
deepseek-v4-flash-0731,open-py3,51,69,0.7391,37,40,0.925,117,130,0.9,0.0048981046,4094,2026-08-14T08:02:10,2026-08-14T08:17:17,2400,2026-09-03T21:45:55+0700
gemma-4-31b,open-py1,32,69,0.4638,35,40,0.875,101,130,0.7769,0.0016275600,1330,2026-08-13T15:02:42,2026-08-13T15:06:42,600,2026-09-03T21:45:55+0700
gemma-4-31b,open-py2,59,69,0.8551,31,40,0.775,129,130,0.9923,0.0015551160,1373,2026-08-13T15:58:37,2026-08-13T16:01:59,600,2026-09-03T21:45:55+0700
gemma-4-31b,open-py3,60,69,0.8696,35,40,0.875,127,130,0.9769,0.0016240100,952,2026-08-13T18:04:56,2026-08-13T18:08:11,600,2026-09-03T21:45:55+0700
glm-5.3,open-py1,41,69,0.5942,36,40,0.9,115,130,0.8846,0.0152031250,1160,2026-09-03T21:27:13,2026-09-03T21:31:37,6000,2026-09-03T21:45:55+0700
glm-5.3,open-py2,51,69,0.7391,28,40,0.7,124,130,0.9538,0.0175988720,1194,2026-09-03T21:34:06,2026-09-03T21:38:29,6000,2026-09-03T21:45:55+0700
glm-5.3,open-py3,52,69,0.7536,34,40,0.85,123,130,0.9462,0.0273959600,1385,2026-09-03T21:41:18,2026-09-03T21:45:55,6000,2026-09-03T21:45:55+0700
glm-5.3-flash,open-py1,35,69,0.5072,34,40,0.85,99,130,0.7615,0.0082349200,8072,2026-09-02T20:15:20,2026-09-02T20:29:27,6000,2026-09-03T21:45:55+0700
glm-5.3-flash,open-py2,46,69,0.6667,17,40,0.425,128,130,0.9846,0.0067337600,6888,2026-09-02T20:35:26,2026-09-02T20:48:30,6000,2026-09-03T21:45:55+0700
glm-5.3-flash,open-py3,50,69,0.7246,33,40,0.825,117,130,0.9,0.0104418450,8174,2026-09-02T18:30:17,2026-09-02T18:50:53,6000,2026-09-03T21:45:55+0700
gpt-5.6-luna,open-py1,31,69,0.4493,36,40,0.9,102,130,0.7846,0.0021420000,1034,2026-08-14T07:14:02,2026-08-14T07:16:53,600,2026-09-03T21:45:55+0700
gpt-5.6-luna,open-py2,52,69,0.7536,25,40,0.625,123,130,0.9462,0.0042225000,2199,2026-08-14T06:56:41,2026-08-14T07:00:31,600,2026-09-03T21:45:55+0700
gpt-5.6-luna,open-py3,55,69,0.7971,34,40,0.85,100,130,0.7692,0.0040731000,2020,2026-08-14T07:43:27,2026-08-14T07:47:08,600,2026-09-03T21:45:55+0700
hunyuan-a13b,open-py1,17,69,0.2464,29,40,0.725,91,130,0.7,0.0019430700,1485,2026-08-14T07:16:56,2026-08-14T07:20:00,600,2026-09-03T21:45:55+0700
hunyuan-a13b,open-py2,29,69,0.4203,26,40,0.65,115,130,0.8846,0.0022726500,1493,2026-08-14T07:00:35,2026-08-14T07:03:43,600,2026-09-03T21:45:55+0700
hunyuan-a13b,open-py3,22,69,0.3188,29,40,0.725,105,130,0.8077,0.0021857100,1497,2026-08-14T07:47:10,2026-08-14T07:50:16,600,2026-09-03T21:45:55+0700
ling-3.0-flash,open-py1,39,69,0.5652,32,40,0.8,102,130,0.7846,0.0019648524,1766,2026-08-13T15:23:55,2026-08-13T15:34:40,4000,2026-09-03T21:45:55+0700
ling-3.0-flash,open-py2,44,69,0.6377,23,40,0.575,122,130,0.9385,0.0017699646,1767,2026-08-13T16:02:01,2026-08-19T03:19:26,6000,2026-09-03T21:45:55+0700
ling-3.0-flash,open-py3,41,69,0.5942,33,40,0.825,112,130,0.8615,0.0034141872,1936,2026-08-13T18:08:21,2026-08-13T18:28:56,24000,2026-09-03T21:45:55+0700
llama-3-1-8b-q4km-local,open-py1,26,69,0.3768,29,40,0.725,116,130,0.8923,,528,2026-08-15T16:27:45,2026-08-15T16:29:43,600,2026-09-03T21:45:55+0700
llama-3-1-8b-q4km-local,open-py2,30,69,0.4348,29,40,0.725,122,130,0.9385,,505,2026-08-15T16:29:45,2026-08-15T16:31:43,600,2026-09-03T21:45:55+0700
llama-3-1-8b-q4km-local,open-py3,23,69,0.3333,28,40,0.7,82,130,0.6308,,534,2026-08-15T16:31:45,2026-08-15T16:33:43,600,2026-09-03T21:45:55+0700
mistral-small-3-2501,open-py1,39,69,0.5652,29,40,0.725,118,130,0.9077,0.0005372400,962,2026-08-13T15:00:13,2026-08-13T15:02:38,600,2026-09-03T21:45:55+0700
mistral-small-3-2501,open-py2,38,69,0.5507,24,40,0.6,126,130,0.9692,0.0006374500,650,2026-08-13T15:56:29,2026-08-13T15:58:28,600,2026-09-03T21:45:55+0700
mistral-small-3-2501,open-py3,38,69,0.5507,29,40,0.725,119,130,0.9154,0.0005963700,671,2026-08-13T18:02:47,2026-08-13T18:04:54,600,2026-09-03T21:45:55+0700
qwen3-30b-a3b-2507,open-py1,40,69,0.5797,31,40,0.775,118,130,0.9077,0.0009517622,2043,2026-08-13T15:28:16,2026-08-13T15:31:49,600,2026-09-03T21:45:55+0700
qwen3-30b-a3b-2507,open-py2,43,69,0.6232,23,40,0.575,123,130,0.9462,0.0011570861,1656,2026-08-13T16:06:05,2026-08-13T16:09:12,600,2026-09-03T21:45:55+0700
qwen3-30b-a3b-2507,open-py3,46,69,0.6667,32,40,0.8,120,130,0.9231,0.0012745558,1636,2026-08-13T18:11:48,2026-08-13T18:15:21,600,2026-09-03T21:45:55+0700
sahabatai-1-llama3-q4km-local,open-py1,22,69,0.3188,32,40,0.8,78,130,0.6,,390,2026-08-14T23:20:58,2026-08-14T23:22:46,600,2026-09-03T21:45:55+0700
sahabatai-1-llama3-q4km-local,open-py2,40,69,0.5797,34,40,0.85,109,130,0.8385,,415,2026-08-14T23:22:48,2026-08-14T23:24:38,600,2026-09-03T21:45:55+0700
sahabatai-1-llama3-q4km-local,open-py3,29,69,0.4203,35,40,0.875,94,130,0.7231,,418,2026-08-14T23:24:40,2026-08-14T23:26:29,600,2026-09-03T21:45:55+0700
sea-lion-v4-5-e2b-q4km-local,open-py1,35,69,0.5072,34,40,0.85,110,130,0.8462,,890,2026-08-15T16:42:18,2026-08-15T16:44:41,600,2026-09-03T21:45:55+0700
sea-lion-v4-5-e2b-q4km-local,open-py2,51,69,0.7391,33,40,0.825,128,130,0.9846,,863,2026-08-15T16:44:43,2026-08-15T16:47:06,600,2026-09-03T21:45:55+0700
sea-lion-v4-5-e2b-q4km-local,open-py3,50,69,0.7246,35,40,0.875,126,130,0.9692,,930,2026-08-15T16:47:08,2026-08-15T16:49:32,600,2026-09-03T21:45:55+0700
