item_id,model,tugas,penilai,benar,latensi_ms,biaya_usd,tokens_out,cap_token,dijalankan_pada
id-b1-002,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1237,0.0002220000,4,600,2026-08-17T23:05:41+0700
id-b1-002,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,5033,0.0000522000,54,600,2026-08-17T22:57:13+0700
id-b1-002,gemma-4-31b,pilihan-ganda,mcq-py1,1,607,0.0000150800,2,600,2026-08-17T22:41:23+0700
id-b1-002,glm-5.3-flash,pilihan-ganda,mcq-py1,1,3571,0.0000276000,57,2400,2026-09-01T23:15:40+0700
id-b1-002,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,988,0.0000346000,5,600,2026-08-17T22:46:14+0700
id-b1-002,hunyuan-a13b,pilihan-ganda,mcq-py1,0,1670,0.0000256400,2,600,2026-08-17T22:52:47+0700
id-b1-002,ling-3.0-flash,pilihan-ganda,mcq-py1,1,991,0.0000076650,58,600,2026-08-17T22:34:47+0700
id-b1-002,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,372,,2,600,2026-08-17T22:00:09+0700
id-b1-002,mistral-small-3-2501,pilihan-ganda,mcq-py1,0,488,0.0000079100,2,600,2026-08-17T22:24:56+0700
id-b1-002,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,512,0.0000185000,2,600,2026-08-17T22:30:18+0700
id-b1-002,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,361,,2,600,2026-08-17T22:02:26+0700
id-b1-002,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,419,,2,600,2026-08-17T22:09:07+0700
id-b1-002,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,1,911,,2,600,2026-08-17T22:04:36+0700
id-b1-002,seed-2.0-mini,pilihan-ganda,mcq-py1,1,1395,0.0000624000,110,2400,2026-08-20T01:01:45+0700
id-b1-002,solar-pro4,pilihan-ganda,mcq-py1,1,3805,0.0000063900,3,600,2026-08-17T22:15:42+0700
id-b1-003,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1379,0.0002150000,4,600,2026-08-17T23:05:44+0700
id-b1-003,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,2170,0.0000206707,56,600,2026-08-17T22:57:17+0700
id-b1-003,gemma-4-31b,pilihan-ganda,mcq-py1,1,945,0.0000138200,2,600,2026-08-17T22:41:26+0700
id-b1-003,glm-5.3-flash,pilihan-ganda,mcq-py1,1,15141,0.0000422250,117,2400,2026-09-01T23:15:56+0700
id-b1-003,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,1154,0.0000348000,5,600,2026-08-17T22:46:16+0700
id-b1-003,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1460,0.0000249400,2,600,2026-08-17T22:52:50+0700
id-b1-003,ling-3.0-flash,pilihan-ganda,mcq-py1,1,1476,0.0000088620,79,600,2026-08-17T22:34:50+0700
id-b1-003,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,356,,2,600,2026-08-17T22:00:11+0700
id-b1-003,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,705,0.0000078600,2,600,2026-08-17T22:24:58+0700
id-b1-003,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,2378,0.0000159600,1,600,2026-08-17T22:30:22+0700
id-b1-003,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,396,,2,600,2026-08-17T22:02:28+0700
id-b1-003,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,394,,2,600,2026-08-17T22:09:09+0700
id-b1-003,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,1,842,,2,600,2026-08-17T22:04:38+0700
id-b1-003,seed-2.0-mini,pilihan-ganda,mcq-py1,1,2503,0.0001351000,292,2400,2026-08-20T01:01:49+0700
id-b1-003,solar-pro4,pilihan-ganda,mcq-py1,1,1515,0.0000062100,2,600,2026-08-17T22:15:45+0700
id-b1-006,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1269,0.0002340000,4,600,2026-08-17T23:05:51+0700
id-b1-006,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,6133,0.0000179199,35,600,2026-08-17T22:58:06+0700
id-b1-006,gemma-4-31b,pilihan-ganda,mcq-py1,1,476,0.0000141800,2,600,2026-08-17T22:41:31+0700
id-b1-006,glm-5.3-flash,pilihan-ganda,mcq-py1,1,5614,0.0000421750,112,2400,2026-09-01T23:17:24+0700
id-b1-006,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,1023,0.0000360000,5,600,2026-08-17T22:46:23+0700
id-b1-006,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1922,0.0000270400,2,600,2026-08-17T22:52:59+0700
id-b1-006,ling-3.0-flash,pilihan-ganda,mcq-py1,1,981,0.0000098490,90,600,2026-08-17T22:34:57+0700
id-b1-006,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,434,,2,600,2026-08-17T22:00:16+0700
id-b1-006,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,584,0.0000084100,2,600,2026-08-17T22:25:03+0700
id-b1-006,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,555,0.0000195000,2,600,2026-08-17T22:30:27+0700
id-b1-006,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,382,,2,600,2026-08-17T22:02:33+0700
id-b1-006,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,364,,2,600,2026-08-17T22:09:14+0700
id-b1-006,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,1,842,,2,600,2026-08-17T22:04:44+0700
id-b1-006,seed-2.0-mini,pilihan-ganda,mcq-py1,1,1518,0.0000639000,113,2400,2026-08-20T01:08:54+0700
id-b1-006,solar-pro4,pilihan-ganda,mcq-py1,1,907,0.0000066000,2,600,2026-08-17T22:15:53+0700
id-b1-007,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1634,0.0002390000,4,600,2026-08-17T23:05:54+0700
id-b1-007,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,3020,0.0000357200,126,600,2026-08-17T22:58:11+0700
id-b1-007,gemma-4-31b,pilihan-ganda,mcq-py1,1,520,0.0000147200,2,600,2026-08-17T22:41:33+0700
id-b1-007,glm-5.3-flash,pilihan-ganda,mcq-py1,0,6866,0.0000682250,215,2400,2026-09-01T23:17:32+0700
id-b1-007,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,3135,0.0001480000,97,600,2026-08-17T22:46:27+0700
id-b1-007,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1512,0.0000277400,2,600,2026-08-17T22:53:01+0700
id-b1-007,ling-3.0-flash,pilihan-ganda,mcq-py1,1,1453,0.0000177240,212,600,2026-08-17T22:35:00+0700
id-b1-007,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,548,,2,600,2026-08-17T22:00:18+0700
id-b1-007,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,499,0.0000085600,2,600,2026-08-17T22:25:07+0700
id-b1-007,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,0,837,0.0000097272,2,600,2026-08-17T22:30:29+0700
id-b1-007,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,530,,2,600,2026-08-17T22:02:35+0700
id-b1-007,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,511,,2,600,2026-08-17T22:09:15+0700
id-b1-007,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,0,946,,2,600,2026-08-17T22:04:46+0700
id-b1-007,seed-2.0-mini,pilihan-ganda,mcq-py1,0,11284,0.0005861000,1416,2400,2026-08-20T01:09:06+0700
id-b1-007,solar-pro4,pilihan-ganda,mcq-py1,1,20881,0.0000065400,2,600,2026-08-17T22:16:15+0700
id-b1-008,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1759,0.0002210000,4,600,2026-08-17T23:05:57+0700
